System Type,Year of cons.,No. of Story,Ground floor Area,Total Floor Area,Overhang Area,Story Heights Ground,Story Heights Normal,Irr-A1,Irr-A2,Irr-A3,Irr-A4,Irr-B1,Irr-B2,Irr-B3,X-dir - Frames,Y-dir - Frames,SSI,OR (Aover/Agrou),RNS,MNLSI,MNLSTFI,Damage Class
1,1990,4,98.9,454.46,12.75,5.3,2.7,2,2,2,1,2,1,2,3,2,1.963,,1,2.8781,0.0906,2
1,1985,3,101,303,7.9,3.7,2.8,2,2,2,2,2,1,2,3,3,1.321,,2,2.9571,0.0602,1
1,1984,3,101.1,311.3,0,3.5,2.8,2,2,2,2,2,2,2,3,2,1.25,,1,4.1017,0.1561,2
1,1980,4,135,540,0,3.5,2.85,2,2,2,2,2,1,2,2,3,1.228,,1,1.3889,0.0699,2
1,1999,3,107,321,18.21,3.5,2.7,1,2,2,2,2,1,2,3,2,1.296,,1,5.0353,0.2313,1
2,1982,3,199,597,0,3.65,2.9,2,2,2,2,2,1,2,2,5,1.259,,1,3.806,0.49,1
1,1982,4,163.5,654,16.4,2.9,2.9,2,2,2,2,2,2,2,4,2,1,,1,2.1718,0.0528,2
1,1986,4,178.8,715.2,27.43,3.5,2.85,2,2,2,2,2,1,2,3,2,1.228,,1,1.7319,0.0348,2
1,1980,3,124,372,5.72,2.8,2.8,2,2,2,2,2,2,2,2,4,1,,1,2.6855,0.0563,1
1,1980,3,118,354,7.13,2.8,2.8,1,2,2,2,2,2,2,3,2,1,,1,2.484,0.0889,1
2,1993,5,590,3350,17.3,3.2,2.9,1,1,1,1,1,1,2,2,4,1.103,,1,1.7422,0.1317,2
1,1996,5,210,1165,0,2.8,2.8,1,1,2,1,2,1,2,3,3,1,,1,1.7947,0.059,2
1,1989,5,195,1133,0,2.8,2.8,1,2,2,1,2,1,2,3,3,1,,2,2.692,0.119,1
2,1995,4,380,1520,46.67,3.55,2.8,2,2,2,2,2,1,2,2,3,1.268,,1,2.3116,0.1014,3
1,1999,3,247,741,26.54,3.55,2.7,1,2,1,2,2,1,2,1,2,1.315,,1,3.4532,0.1358,1
1,1970,2,147,294,3.1,3.35,2.9,2,2,2,2,2,2,2,2,7,1.155,,2,5.263,0.0957,1
1,1972,2,124,248,17.55,2.8,2.8,2,2,2,2,2,2,2,4,3,1,,3,2.8602,0.0301,1
1,1995,3,159,477,19.94,3.1,2.6,2,2,2,2,2,2,2,2,4,1.192,,1,2.8134,0.0628,1
1,1998,2,300,600,37.26,2.8,2.8,2,2,2,2,2,1,2,3,5,1,,2,4.0517,0.1248,2
1,1983,3,208,624,27.3,2.75,2.75,2,2,2,2,1,2,2,4,3,1,,2,1.8483,0.0248,2
1,1992,2,82,180,15.73,3.5,2.8,1,2,2,2,2,1,2,3,4,1.25,,3,6.425,0.2813,2
1,1980,3,110,330,8.94,2.8,2.8,1,2,2,2,1,2,2,3,3,1,,2,2.5465,0.1203,1
1,1994,3,111,333,12.47,2.8,2.8,2,2,2,2,2,2,2,3,4,1,,3,2.6517,0.0508,1
1,1974,3,173,519,7.6,2.8,2.8,2,2,2,2,2,2,2,3,4,1,,2,2.5909,0.0552,1
1,1992,3,268.25,804.75,18.38,2.8,2.8,2,2,2,2,2,2,2,3,1,1,,1,3.2358,0.1121,1
1,1977,3,127,381,6.1,2.8,2.8,2,2,2,2,2,1,2,2,2,1,,1,2.6719,0.0935,1
2,1995,3,122.35,367.05,35.3,2.8,2.8,1,2,2,2,2,1,2,2,3,1,,1,6.134,1.8749,1
1,1998,2,660,1320,0,3.3,3.3,2,2,1,2,2,2,2,6,4,1,,2,4.2515,0.2291,1
2,1998,2,720,1440,0,3.3,3.3,2,2,1,2,2,2,2,5,3,1,,1,4.5028,1.0295,1
1,1998,2,660,1320,0,3.3,3.3,2,2,1,2,2,2,2,5,4,1,,1,4.2061,0.2291,1
2,1995,4,230,920,0,4.2,3.2,1,2,1,2,1,1,1,4,10,1.313,,3,4.1703,3.2641,1
1,1990,2,407,814,0,3.05,3.05,2,2,2,2,2,2,2,4,10,1,,3,3.7482,0.0796,1
1,1990,2,596,1192,0,3.05,3.05,2,2,2,2,2,2,1,5,8,1,,3,3.9776,0.3159,1
1,1996,3,355.6,1066.8,0,3.35,3.1,2,2,2,2,2,2,2,4,11,1.081,,3,3.0971,0.105,1
2,1997,5,365,1825,36.62,2.8,2.8,1,2,2,1,2,2,1,1,1,1,,1,2.2928,0.1684,3
2,1997,5,325,1625,38.09,2.8,2.8,1,2,2,1,2,2,1,2,1,1,,1,2.5268,0.1649,3
2,1995,3,205.12,615.36,48.4,2.75,2.75,2,2,2,2,2,2,2,2,3,1,,1,2.7734,0.136,2
1,1996,4,196.73,786.92,44.2,2.8,2.8,1,2,2,2,2,1,2,3,2,1,,1,2.8624,0.1412,1
1,1993,3,110,330,19.43,2.75,2.75,1,2,2,2,2,2,2,1,2,1,,1,3.6768,0.0879,2
1,1973,4,115.4,461.6,21.85,2.95,2.95,1,2,2,1,2,1,2,3,3,1,,2,2.5629,0.0655,1
1,1973,4,115.8,463.2,22.07,2.95,2.95,1,2,2,1,2,1,2,2,4,1,,1,2.2901,0.0833,1
1,1968,3,136.5,409.5,0,2.85,2.8,2,2,2,2,2,2,2,2,2,1.018,,1,3.6627,0.0942,0
1,1998,5,143.2,716,48.43,2.85,2.9,2,2,2,2,1,1,2,3,2,0.983,,1,1.2719,0.0972,1
2,1985,4,257.62,1030.48,46.53,3.2,2.6,1,2,2,1,2,1,2,2,4,1.231,,1,3.1777,0.2681,3
1,1975,2,113,226,13.2,2.9,2.9,2,2,2,2,1,2,2,4,4,1,,3,4.2212,0.1462,0
1,1985,3,163,489,38.7,2.75,2.75,1,2,2,2,2,1,2,4,2,1,,1,3.1152,0.1081,2
2,1992,5,433,2165,83.21,2.8,2.8,2,2,2,2,2,2,2,2,5,1,,1,1.6142,0.5969,3
2,1994,4,420.86,1683.44,85.14,2.75,2.7,1,2,2,2,2,1,2,0,1,1.019,,1,2.5991,0.6338,3
2,1996,5,405,2025,21.45,2.8,2.8,1,2,1,2,2,1,2,1,2,1,,1,2.1345,0.1602,2
2,1996,5,255,1275,15.65,2.8,2.8,1,2,1,2,2,1,2,1,1,1,,1,2.6008,0.2881,2
1,1981,3,661.5,1984.5,41.78,2.85,2.9,2,2,2,2,2,2,2,3,6,0.983,,1,2.5289,0.0899,1
1,1974,3,295.43,886.29,18,3.65,2.75,2,2,2,2,2,1,2,3,5,1.327,,2,1.9626,0.054,1
1,1998,4,120,480,4.1,2.75,2.75,1,2,2,2,2,2,2,1,3,1,,1,2.9792,0.0974,1
1,1950,3,175,525,3.48,3,2.75,1,2,2,2,2,2,2,3,2,1.091,,1,2.147,0.0287,3
1,1976,3,202,606,20.48,2.85,2.85,1,2,2,2,2,2,2,3,2,1,,1,2.7563,0.0595,1
1,1982,2,105,210,23.95,2.85,2.85,2,2,2,2,2,2,2,2,4,1,,1,3.5222,0.0343,1
1,1978,3,103.8,311.4,0,2.85,2.85,2,2,2,2,2,1,2,4,4,1,,3,5.2617,0.1125,2
1,1980,4,418,1672,21,2.8,2.8,2,2,2,2,2,2,2,3,4,1,,1,2.0239,0.1324,1
1,1975,2,144,288,7.15,2.9,2.7,1,2,2,2,2,2,2,2,4,1.074,,1,5.0931,0.1263,1
1,1950,4,121.56,486.24,10.5,2.75,2.75,2,2,2,2,2,2,2,4,4,1,,3,2.3994,0.0927,1
1,1970,2,148.2,296.4,23.07,3.15,3.15,2,2,2,2,2,1,2,4,3,1,,3,3.7629,0.0835,1
1,1982,3,135.15,405.45,27.15,2.7,2.7,2,2,2,2,2,2,2,2,3,1,,1,2.781,0.0482,2
2,1985,3,181,543,24.48,2.8,2.8,2,2,2,2,2,2,2,3,4,1,,2,3.2228,0.0349,1
1,1975,3,165,495,20.99,2.8,2.8,1,2,2,2,2,2,2,3,2,1,,1,3.2525,0.0605,1
1,1990,3,122.8,368.4,15.77,2.85,2.85,2,2,2,2,2,2,2,2,2,1,,1,4.126,0.148,1
1,1979,2,185,370,19.15,2.85,2.85,1,2,1,2,2,2,2,1,2,1,,1,3.2613,0.0437,1
1,1982,2,117,234,6.49,2.85,2.85,1,2,2,2,2,2,2,2,3,1,,1,3.4185,0.1419,1
1,1980,5,162.4,812,13.44,2.8,2.8,2,2,2,2,2,2,2,3,2,1,,1,2.3974,0.0693,1
1,1983,3,161.1,483.3,7.28,2.85,2.85,2,2,2,2,2,2,2,3,2,1,,1,2.5522,0.1628,3
2,1995,4,270,1080,38.72,3.1,2.65,1,2,2,1,2,1,2,2,2,1.17,,1,2.77,0.0542,1
1,1976,3,98,294,0,2.75,2.75,1,2,2,2,2,2,2,2,3,1,,1,2.6678,0.0345,1
1,1985,3,492,1476,0,2.95,2.95,2,2,2,2,2,2,2,4,8,1,,3,3.1388,0.0723,1
1,1950,3,122.16,366.48,0,2.85,3,2,2,2,2,2,1,2,3,6,0.95,,3,2.8072,0.0181,0
1,1950,2,162,324,11.45,4.15,3.45,1,2,2,1,1,1,2,5,2,1.203,,1,2.9938,0.0676,0
1,1970,3,67.8,203.4,17.92,3,3,1,2,2,1,2,2,2,3,3,1,,3,2.8499,0.0368,0
1,1970,3,40,120,0,3.55,2.8,1,2,2,1,1,1,2,3,2,1.268,,2,4.4967,0.238,0
1,1982,2,66,132,0,3.15,2.85,2,2,2,2,2,2,2,2,3,1.105,,1,3.3662,0.036,0
1,1985,2,91,182,12.18,2.9,2.9,1,2,2,2,2,1,2,2,4,1,,1,5.4011,0.2275,0
1,1973,4,27.17,108.68,0,3.3,3,2,2,2,1,2,1,2,2,3,1.1,,2,3.3738,0.0489,0
1,1960,4,42.37,169.48,0,3.35,2.8,2,2,2,2,2,1,2,2,4,1.196,,2,2.8696,0.0307,0
1,1976,4,750,3000,0,3.75,2.95,2,2,2,2,2,1,2,7,7,1.271,,3,1.476,0.0356,0
1,1984,5,434,2170,11,3.4,2.75,2,2,2,2,1,2,2,4,5,1.236,,2,1.3918,0.0643,0
1,1984,5,296,1480,0,3.4,2.75,2,2,2,2,1,2,2,7,5,1.236,,3,1.7425,0.0299,0
2,1989,5,283,1415,15.84,3.5,2.8,1,2,2,2,2,1,2,3,3,1.25,,1,1.9478,0.1195,0
2,1989,5,332,1660,24.75,3.5,2.8,1,2,2,2,2,1,2,4,2,1.25,,1,1.8376,0.0791,0
2,1989,6,400,2950,0,3.75,3,1,2,1,1,1,1,2,3,9,1.25,,2,2.1868,0.3776,0
1,1987,3,118.8,356.4,7.37,3.7,2.7,2,2,2,2,2,1,2,3,2,1.37,,1,3.3956,0.2648,0
1,1979,2,200,400,20.58,3.5,2.7,2,2,2,2,2,1,2,2,6,1.296,,1,4.635,0.089,0
2,1999,4,230.75,923,60,2.9,2.9,1,2,2,2,2,2,2,3,5,1,,2,2.2824,0.0891,0
1,1991,5,306,1530,13.9,3.25,2.75,1,2,2,2,2,1,2,2,2,1.182,,1,1.7558,0.0461,3
1,1988,5,204,1020,25.8,3.1,2.8,1,2,2,2,1,1,2,3,2,1.107,,1,2.3627,0.0824,3
1,1980,5,130,650,14.43,3.25,3,2,2,2,2,2,2,2,2,3,1.083,,1,2.0195,0.0675,2
1,1985,5,110,550,0,3.6,2.7,2,2,2,2,2,2,2,2,3,1.333,,1,2.0312,0.1187,0
1,1993,5,210,1050,39.57,3.75,3,2,2,2,1,1,1,2,1,1,1.25,,1,2.1103,0.161,0
1,1984,3,126.11,378.33,2.04,2.9,2.9,1,2,2,2,2,2,2,3,2,1,,1,3.7969,0.3923,3
1,1985,4,382,1528,2.64,2.7,2.6,2,2,2,2,2,2,2,4,4,1.038,,2,2.3351,0.0424,0
1,1996,4,217,868,36.71,3,3,2,2,2,2,2,2,2,6,2,1,,1,4.6444,0.1265,3
1,1975,3,114.5,343.5,10.4,2.8,2.8,2,2,2,2,2,2,2,2,4,1,,1,3.6157,0.1316,0
2,1999,5,200,1000,17.45,2.75,2.75,2,2,2,2,2,2,2,4,2,1,,1,2.104,0.5337,0
1,1999,3,201,603,48,2.8,2.8,2,2,2,2,2,1,2,3,2,1,,1,3.9055,0.2106,0
2,1989,4,200.7,802.8,27.5,3,3,2,2,2,2,2,2,2,2,2,1,,1,2.5448,0.0341,0
1,1970,3,136,408,5.84,3.4,3,2,2,2,2,2,2,2,4,2,1.133,,1,2.8056,0.0534,0
1,1973,3,284,852,8.63,3.5,3.1,2,2,2,2,2,1,2,6,0,1.129,,1,1.9517,0.0548,0
1,1992,5,214,1070,25.5,2.8,2.8,2,2,2,2,2,2,2,4,2,1,,1,1.9704,0.0835,0
1,1989,2,216,432,13.5,3.75,3.75,1,2,2,2,2,1,2,2,5,1,,1,3.8804,0.0835,2
1,1950,3,163.5,490.5,6.84,3.45,2.8,1,2,2,1,1,1,2,4,2,1.232,,1,1.4653,0.0312,0
1,1994,5,220,1100,16.13,3.45,2.85,1,2,2,1,1,1,2,2,3,1.211,,1,2.8741,0.1075,2
1,1975,3,165,495,30.72,3.2,2.6,1,2,2,2,2,1,2,1,4,1.231,,1,2.4593,0.0275,3
1,1950,3,307,921,34.05,3.6,2.8,2,2,2,2,2,1,2,4,8,1.286,,3,2.7159,0.0938,1
2,1984,3,246,738,31.8,3.6,2.75,1,2,2,1,1,1,2,4,3,1.309,,2,4.5486,0.1392,3
2,1999,5,303,1515,19.89,3,3,2,2,2,2,2,2,2,0,8,1,,1,2.3694,0.1626,1
1,1995,3,82.3,246.9,18.49,3.75,2.85,1,2,1,2,2,1,2,1,3,1.316,,1,3.4521,0.0908,2
1,1995,3,144,432,20.64,2.8,2.8,1,2,2,2,2,1,2,3,2,1,,1,2.6474,0.097,1
1,1994,4,188,752,10.36,3.6,2.9,1,2,2,2,2,1,2,4,4,1.241,,3,3.1799,0.1332,1
1,1993,3,128,384,17.29,2.8,2.8,2,2,2,2,2,1,2,4,2,1,,1,2.1736,0.1645,1
1,1992,5,258,1290,36.27,3.1,2.9,1,2,2,1,2,1,2,4,3,1.069,,2,1.9245,0.0709,2
2,1993,5,319,1595,18.2,2.8,2.8,2,2,2,2,2,1,2,3,3,1,,1,2.5287,0.9074,2
1,1986,5,308,1540,16.17,3,2.8,1,2,1,1,2,1,2,4,1,1.071,,1,1.9776,0.0769,2
1,1984,5,97,485,3.3,3.5,2.9,1,2,2,2,2,1,2,2,2,1.207,,1,3.3519,0.15,2
1,1970,3,84,252,13.56,3.5,2.9,1,2,2,1,2,1,2,3,2,1.207,,1,3.5886,0.0853,1
1,1994,4,207,828,19.36,2.8,2.8,1,2,1,1,2,1,2,3,2,1,,1,1.8116,0.0496,2
1,1993,4,177,708,25.8,3.6,2.8,1,2,2,2,2,1,2,2,3,1.286,,1,2.8424,0.1223,2
1,1966,3,133,399,13.5,3.7,3.1,1,2,2,2,2,1,2,3,3,1.194,,2,1.5188,0.0089,1
1,1987,5,257,1285,0,3.5,2.9,1,2,1,2,2,1,2,4,5,1.207,,3,2.0962,0.0989,1
1,1990,5,270,1350,11.76,3.5,2.8,1,2,2,2,2,1,2,2,1,1.25,,1,2.2013,0.1189,2
1,2001,4,445,1780,45.66,2.8,2.8,1,2,2,1,2,2,2,1,3,1,,1,1.7344,0.1002,3
1,1989,4,190,760,15.83,2.85,2.85,1,2,2,1,2,2,2,1,2,1,,1,2.755,0.1545,2
2,1994,5,210,1050,38.68,2.8,2.8,2,2,2,2,2,2,2,2,1,1,,1,2.211,0.2521,2
1,1996,4,149,596,0,3.5,2.9,1,2,2,1,2,1,2,4,4,1.207,,3,3.052,0.1389,1
1,1996,4,70,280,0,3.5,2.9,1,2,2,1,2,1,2,2,4,1.207,,2,3.6964,0.1213,1
1,1995,4,192,768,5.42,2.85,2.85,1,2,2,1,2,2,2,1,5,1,,1,2.1747,0.1297,2
1,2001,5,628,3140,29.55,3.1,2.9,1,2,2,2,2,2,2,2,5,1.069,,1,1.7183,0.1736,3
1,1990,4,178,712,11.2,3.6,2.9,1,2,2,2,2,1,2,4,5,1.241,,3,1.6536,0.0194,2
1,1985,5,147,735,6.9,3.1,2.7,1,2,2,2,2,1,2,2,5,1.148,,1,1.9546,0.1385,3
1,1985,5,212,1060,24.28,3.1,2.7,1,2,2,2,2,1,2,2,8,1.148,,1,1.9711,0.0468,2
1,1983,4,422,1688,54.22,2.9,2.9,1,2,2,2,2,1,2,3,4,1,,1,2.4648,0.0602,2
1,1980,5,115,575,9.52,3.1,2.7,1,2,2,2,2,1,2,2,5,1.148,,1,1.869,0.0601,1
1,1980,3,272,816,16.35,2.9,2.9,2,2,2,2,2,2,2,4,7,1,,3,1.5606,0.0223,2
1,1993,4,470,1880,34.19,2.75,2.75,1,2,2,1,2,2,2,2,3,1,,1,2.181,0.1466,2
1,1988,3,627,1881,69.96,3.3,2.9,1,2,1,1,2,1,2,4,5,1.138,,1,2.3047,0.0358,2
1,1992,3,300,900,39.49,4,2.8,1,2,2,2,2,1,2,4,4,1.429,,2,2.8133,0.0919,1
1,1989,5,987,4935,61.26,3.5,2.9,1,2,1,1,2,1,2,4,3,1.207,,1,2.1789,0.0946,2
1,1984,4,375,1500,26,3.8,2.9,1,2,2,2,2,1,2,2,5,1.31,,1,2.2139,0.0637,2
1,1994,5,210,1050,0,3.35,2.8,1,2,2,1,2,1,2,3,2,1.196,,1,2.1476,0.0692,2
1,1988,5,87,435,0,3.5,2.8,1,2,2,2,2,1,2,2,4,1.25,,1,2.2391,0.0557,1
2,1990,5,512,2560,26.77,3.5,3.5,1,2,2,1,2,1,2,5,3,1,,1,2.0968,0.081,2
1,1995,4,334,1336,8.56,3.8,2.9,1,2,2,2,2,1,2,3,7,1.31,,2,2.9027,0.2014,2
1,1988,5,208,1040,10.14,3.55,2.8,1,2,2,1,2,1,2,4,4,1.268,,3,2.4248,0.0738,2
1,1993,3,156,468,19.63,2.7,2.7,1,2,2,2,2,2,2,2,3,1,,1,3.057,0.1434,1
1,1994,3,186,558,12.9,2.7,2.7,1,2,2,2,2,2,2,3,2,1,,1,2.8889,0.0736,2
1,1989,5,399,1995,18.34,3.35,2.85,1,2,2,1,2,1,2,3,7,1.175,,2,1.8111,0.0692,2
1,1978,3,120,360,25.75,2.75,2.75,1,2,2,2,2,2,2,3,2,1,,1,3.2542,0.1255,1
1,2001,4,638,2552,47.63,3.3,2.85,1,2,2,2,2,2,2,2,7,1.158,,1,2.5396,0.127,2
1,1980,5,305,1525,47.69,3.05,2.9,1,2,2,1,2,2,2,1,5,1.052,,1,1.3467,0.0352,2
1,1980,3,248,744,44.26,3.55,2.9,1,2,2,2,2,1,2,2,4,1.224,,1,2.6597,0.0569,2
1,1987,4,166,664,10.12,3.5,2.9,1,2,2,2,2,1,2,3,5,1.207,,3,0.753,0.0301,3
2,1991,5,100,500,0,3.55,2.8,1,2,2,1,2,1,2,4,3,1.268,,3,3.1467,0.2335,2
1,1985,3,515,1545,0,3.25,2.9,1,2,2,2,2,1,2,4,7,1.121,,2,3.7968,0.1035,2
1,1975,3,130,390,8.9,3.1,2.9,1,2,2,2,2,2,2,1,3,1.069,,1,2.4814,0.0488,2
1,1990,3,126,378,8.3,2.8,2.8,1,2,2,2,2,2,2,4,2,1,,1,2.8721,0.094,2
1,1989,5,320,1600,21.95,3.15,2.9,1,2,2,2,2,2,2,2,5,1.086,,1,2.7678,0.099,2
1,1992,4,190,760,24.3,3.2,2.85,1,2,2,2,2,1,2,3,2,1.123,,1,1.7325,0.0362,2
1,1990,5,195,975,15.75,3.25,2.8,1,2,2,2,2,1,2,2,3,1.161,,1,2.5333,0.1221,2
1,1981,3,350,1050,13.92,3.85,2.85,2,2,2,2,2,1,2,6,6,1.351,,3,2.3067,0.0533,2
1,1996,4,122,488,9.26,2.8,2.8,1,2,2,2,2,2,2,3,2,1,,1,2.8967,0.1587,2
2,1994,4,131,524,22.34,2.8,2.8,2,2,2,2,2,2,2,3,3,1,,2,2.6559,0.1989,1
1,1994,4,114,456,19.08,2.8,2.8,2,2,2,2,2,2,2,3,3,1,,2,2.606,0.1757,1
1,1993,5,262,1310,64.01,3.5,2.9,1,2,2,1,2,1,2,2,3,1.207,,1,1.9181,0.0692,1
